ingredient_id,ingredient_name,category,subcategory
109647,1% milk,dairy,
108183,acai,fruit,
108864,achiote,other,
107883,acorn squash,nuts/seeds/grains,
108895,activated charcoal,other,
109898,adobada,other,
107975,adobo,other,
109900,affogato,other,
109694,agar agar,other,
108017,agave,sweetener,
109683,agave syrup,other,
109901,aged,other,
108027,aged balsamic vinegar,other,
109737,agnolotti,other,
108612,agrodolce,other,
108153,aguas frescas,sweetener,
109903,ahi,other,
109191,ahi tuna,other,
109127,aioli,fats/oils,
108634,aji,other,
110498,aji amarillo,other,
110499,aji verde,other,
109904,ajillo,other,
109905,ajo,other,
109906,alambre,other,
109907,albacore,other,
108065,albacore tuna,fortifier,
108246,aleppo pepper,other,
109287,alfalfa,fortifier,
109476,alfredo,dairy,
109908,alfredo sauce,other,
108486,alkaline water,other,
109617,all natural,other,
109738,all purpose flour,other,
108264,allspice,other,
108173,almond,nuts/seeds/grains,
109739,almond butter,other,
109118,almond milk,nuts/seeds/grains,
108274,aloe,other,
108806,aloe vera,other,
108281,alternative flour,nuts/seeds/grains,
108719,amaranth,nuts/seeds/grains,
109909,americano,other,
108251,anaheim pepper,other,
109911,ancho,other,
108433,ancho pepper,other,
109081,anchovy,other,
108313,ancient grain,nuts/seeds/grains,
109182,andouille,other,
109912,andouille sausage,other,
109913,anejo,other,
109741,angel hair,other,
108779,anise,other,
108289,anti-inflammatory,other,
108299,antibiotic free,other,
109296,antioxidant,other,
109914,aperol,other,
108373,apple,fruit,
109915,apple butter,other,
109680,apple cider,fruit,
108033,apple cider vinaigrette,fats/oils,
109322,apple cider vinegar,other,
109917,apple juice,other,
108338,apple pie,fruit,
108587,applesauce,fruit,
109918,applewood,other,
110432,applewood smoked bacon,other,
108362,apricot,fruit,
109920,arbol,other,
108315,arborio,nuts/seeds/grains,
107992,arrabbiata,other,
109921,arrabbiata sauce,other,
109922,arrachera,other,
108106,artichoke,other,
109065,arugula,other,
109867,asiago,other,
109924,asiago cheese,other,
109153,asian dressing,other,
108318,asian pear,fruit,
109291,asparagus,fortifier,
108896,astragalus,other,
108969,atchara,other,
108094,au gratin,other,
108614,au poivre,other,
109585,authentic,other,
107968,avocado,fruit,
108024,avocado dressing,fats/oils,
108021,avocado oil,fats/oils,
108971,ayran,dairy,
109926,añejo,other,
109431,baby carrot,vegetable,
109071,baby spinach,fortifier,
108235,bacon,fats/oils,
110434,bacon bits,other,
110435,bacon jam,other,
109928,bagel,other,
109743,baguette,other,
108856,baharat,other,
109488,baked bean,fortifier,
109744,baking powder,other,
108825,balsamic,other,
110622,balsamic glaze,other,
108032,balsamic reduction,sweetener,
109930,balsamic vinaigrette,other,
108982,balsamic vinegar,other,
108214,banana,fruit,
109387,banana pepper,other,
110631,banana pudding,other,
108640,bang bang sauce,other,
108080,barbacoa,fortifier,
109931,barbecue sauce,other,
108122,barley,nuts/seeds/grains,
108597,basil,herbs/spices,
109160,basil vinaigrette,fats/oils,
109932,basmati,other,
109315,basmati rice,nuts/seeds/grains,
109933,basque,other,
109934,bass,other,
