item_id,ingredient_id,ingredient_name,ingredient_category
1,130,sugar,sweetener
1,49,butter,dairy
1,138,chocolate,sweetener
1,73,udon noodles,grain
1,8,lamb,protein
1,4,shrimp,protein
2,83,teriyaki,sauce
2,142,vegetable oil,oil
3,51,milk,dairy
3,130,sugar,sweetener
3,32,avocado,vegetable
4,18,pulled pork,protein
5,17,steak,protein
5,49,butter,dairy
5,46,feta,dairy
5,65,oats,grain
6,124,grape,fruit
6,125,watermelon,fruit
6,31,cucumber,vegetable
7,94,salsa,sauce
8,93,fish sauce,sauce
9,80,bbq sauce,sauce
9,143,sesame oil,oil
10,85,aioli,sauce
10,14,scallops,protein
11,62,flour,grain
11,130,sugar,sweetener
11,49,butter,dairy
11,137,vanilla extract,sweetener
11,106,chili powder,spice
12,57,gouda,dairy
12,106,chili powder,spice
12,21,onion,vegetable
12,50,cream,dairy
13,51,milk,dairy
13,137,vanilla extract,sweetener
13,130,sugar,sweetener
13,59,rice,grain
13,36,celery,vegetable
13,85,aioli,sauce
14,51,milk,dairy
14,130,sugar,sweetener
14,100,basil,spice
15,147,peanut oil,oil
16,104,turmeric,spice
16,81,ranch,sauce
16,24,spinach,vegetable
17,54,blue cheese,dairy
17,58,provolone,dairy
17,63,noodles,grain
17,118,banana,fruit
18,95,salt,spice
18,11,duck,protein
18,147,peanut oil,oil
18,59,rice,grain
19,57,gouda,dairy
19,67,pita,grain
19,25,kale,vegetable
20,49,butter,dairy
21,130,sugar,sweetener
21,49,butter,dairy
21,137,vanilla extract,sweetener
21,138,chocolate,sweetener
21,35,cabbage,vegetable
21,21,onion,vegetable
22,62,flour,grain
22,130,sugar,sweetener
22,49,butter,dairy
22,138,chocolate,sweetener
22,43,parmesan,dairy
22,150,peanut,nut
23,130,sugar,sweetener
23,49,butter,dairy
23,138,chocolate,sweetener
23,75,couscous,grain
23,89,chimichurri,sauce
23,73,udon noodles,grain
24,34,jalapeno,vegetable
24,141,olive oil,oil
24,13,lobster,protein
24,3,pork,protein
